USB Port Test [ V0.1] : 
-------------------------------------- 
Time	Result

2019-08-02 09:22:04--------->FAIL

2019-08-02 09:23:00--------->FAIL

2019-08-02 09:23:04--------->FAIL

2019-08-02 14:55:06--------->PASS

2019-08-02 15:04:05--------->PASS

2019-08-02 15:04:32--------->PASS

2019-08-02 15:05:04--------->PASS

2019-08-02 15:05:06--------->PASS

2019-08-02 15:06:23--------->PASS

2019-08-02 15:06:33--------->FAIL

2019-08-02 15:06:36--------->FAIL

2019-08-02 15:06:47--------->PASS

2019-08-02 15:06:57--------->PASS

2019-08-02 15:09:18--------->PASS

2019-08-02 15:18:50--------->PASS

2019-08-02 15:19:06--------->PASS

2019-08-02 15:19:11--------->PASS

2019-08-02 15:19:18--------->PASS

2019-08-02 15:19:24--------->PASS

2019-08-02 15:23:14--------->FAIL

2019-08-02 15:23:22--------->FAIL

2019-08-02 15:23:30--------->PASS

2019-08-02 15:23:32--------->PASS

2019-08-02 15:23:34--------->PASS

2019-08-02 15:23:40--------->PASS

2019-08-02 15:25:28--------->PASS

2019-08-02 15:25:35--------->PASS

2019-08-02 15:25:40--------->PASS

2019-08-02 15:25:45--------->PASS

2019-08-02 15:26:34--------->FAIL

2019-08-02 15:26:39--------->PASS

2019-08-02 15:26:44--------->PASS

2019-08-02 15:57:42--------->FAIL

2019-08-02 16:55:29--------->FAIL

2019-08-02 16:56:01--------->PASS

2019-08-02 16:56:09--------->PASS

2019-08-02 16:57:27--------->PASS

2019-08-02 16:59:49--------->PASS

2019-08-02 17:00:59--------->FAIL

2019-08-02 17:01:15--------->FAIL

2019-08-02 17:01:34--------->FAIL

2019-08-02 17:02:20--------->PASS

2019-08-02 17:02:35--------->FAIL

2019-08-02 17:02:38--------->FAIL

2019-08-02 17:02:45--------->FAIL

2019-08-02 17:02:48--------->FAIL

2019-08-02 17:05:19--------->FAIL

2019-08-02 17:05:22--------->FAIL

2019-08-02 17:05:47--------->PASS

2019-08-02 17:05:52--------->FAIL

2019-08-02 17:05:53--------->FAIL

2019-08-02 17:06:08--------->PASS

2019-08-02 17:06:13--------->PASS

2019-08-02 17:06:19--------->PASS

2019-08-02 17:22:30--------->FAIL

2019-08-02 18:05:33--------->PASS

2019-08-02 18:05:34--------->PASS

2019-08-02 18:05:37--------->PASS
